Name,Chemical Name (IAPUC),Chemical Formula,MW,SMILES
gan-1-66,"3,6-bis(4-(bis(2-hydroxydecyl)amino)butyl)piperazine-2,5-dione",C52H104N4O6,881.426,O=C(NC1CCCCN(CC(CCCCCCCC)O)CC(O)CCCCCCCC)C(CCCCN(CC(O)CCCCCCCC)CC(CCCCCCCC)O)NC1=O
gan-1-69,"3,6-bis(4-(bis(2-hydroxytetradecyl)amino)butyl)piperazine-2,5-dione",C68H136N4O6,1105.858,O=C(NC1CCCCN(CC(CCCCCCCCCCCC)O)CC(O)CCCCCCCCCCCC)C(CCCCN(CC(O)CCCCCCCCCCCC)CC(CCCCCCCCCCCC)O)NC1=O
gan-1-68,"3,6-bis(4-(bis(2-hydroxypentadecyl)amino)butyl)piperazine-2,5-dione",C72H144N4O6,1161.966,O=C(NC1CCCCN(CC(CCCCCCCCCCCCC)O)CC(O)CCCCCCCCCCCCC)C(CCCCN(CC(O)CCCCCCCCCCCCC)CC(CCCCCCCCCCCCC)O)NC1=O
gan-1-70,"3,6-bis(4-(bis(2-hydroxyhexadecyl)amino)butyl)piperazine-2,5-dione",C76H152N4O6,1218.074,O=C(NC1CCCCN(CC(CCCCCCCCCCCCCC)O)CC(O)CCCCCCCCCCCCCC)C(CCCCN(CC(O)CCCCCCCCCCCCCC)CC(CCCCCCCCCCCCCC)O)NC1=O
gan-1-71,"3,6-bis(4-(bis(2-hydroxyoctadecyl)amino)butyl)piperazine-2,5-dione",C84H168N4O6,1330.29,O=C(NC1CCCCN(CC(CCCCCCCCCCCCCC)O)CC(O)CCCCCCCCCCCCCC)C(CCCCN(CC(O)CCCCCCCCCCCCCC)CC(CCCCCCCCCCCCCC)O)NC1=O
gan-1-57,"3,6-bis(4-(bis(2-hydroxydodecyl)amino)butyl)-1,4-bis(2-hydroxydodecyl)piperazine-2,5-dione",C84H168N4O8,1362.288,O=C(N(CC(CCCCCCCCCC)O)C1CCCCN(CC(CCCCCCCCCC)O)CC(O)CCCCCCCCCC)C(CCCCN(CC(O)CCCCCCCCCC)CC(CCCCCCCCCC)O)N(CC(CCCCCCCCCC)O)C1=O
gan-1-58,"1,1',1'',1'''-([1,1'-biphenyl]-4,4'-diylbis(azanetriyl))tetrakis(dodecan-2-ol)",C60H108N2O4, 921.5340,OC(CCCCCCCCCC)CN(C(C=C1)=CC=C1C2=CC=C(N(CC(O)CCCCCCCCCC)CC(CCCCCCCCCC)O)C=C2)CC(O)CCCCCCCCCC
gan-1-65,"1,1',1'',1'''-((1,2-phenylenebis(methylene))bis(azanetriyl))tetrakis(dodecan-2-ol)",C56H108N2O4,873.49,OC(CCCCCCCCCC)CN(CC1=C(CN(CC(O)CCCCCCCCCC)CC(CCCCCCCCCC)O)C=CC=C1)CC(O)CCCCCCCCCC
gan-1-63,"1,1',1'',1'''-((oxybis(propane-3,1-diyl))bis(azanetriyl))tetrakis(dodecan-2-ol)",C54H112N2O5, 869.4990,OC(CCCCCCCCCC)CN(CCCOCCCN(CC(O)CCCCCCCCCC)CC(CCCCCCCCCC)O)CC(O)CCCCCCCCCC
gan-1-62,"13,26-bis(2-hydroxydodecyl)-17,22-dioxa-13,26-diazaoctatriacontane-11,28-diol",C58H120N2O6,941.606,OC(CCCCCCCCCC)CN(CCCOCCCCOCCCN(CC(O)CCCCCCCCCC)CC(CCCCCCCCCC)O)CC(O)CCCCCCCCCC
gan-1-72,"1,1'-(((1H-benzo[d]imidazol-2-yl)methyl)azanediyl)bis(dodecan-2-ol)",C32H57N3O2,515.827,OC(CCCCCCCCCC)CN(CC1=NC2=CC=CC=C2N1)CC(O)CCCCCCCCCC
gan-1-79,"1,1',1'',1'''-((thiobis(ethane-2,1-diyl))bis(azanetriyl))tetrakis(dodecan-2-ol)",C52H108N2O4S,857.506,OC(CCCCCCCCCC)CN(CC(O)CCCCCCCCCC)CCSCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC
gan-1-61,"1,1',1'',1'''-([1,1'-biphenyl]-2,2'-diylbis(azanetriyl))tetrakis(dodecan-2-ol)",C60H108N2O4,921.534,OC(CCCCCCCCCC)CN(C1=C(C2=C(N(CC(O)CCCCCCCCCC)CC(CCCCCCCCCC)O)C=CC=C2)C=CC=C1)CC(O)CCCCCCCCCC
